whole_path,taxid,name_clean,command
 PrerumBPI162_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,839,PrerumBPI162,"seqfu cat --append ""|kraken:taxid|839""  PrerumBPI162_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrerumBPI162.fasta"
 PrerumD31d_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,839,PrerumD31d,"seqfu cat --append ""|kraken:taxid|839""  PrerumD31d_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrerumD31d.fasta"
 PrerumGa6B6_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1410667,PrerumGa6B6,"seqfu cat --append ""|kraken:taxid|1410667""  PrerumGa6B6_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrerumGa6B6.fasta"
 PrerumKHT3_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,839,PrerumKHT3,"seqfu cat --append ""|kraken:taxid|839""  PrerumKHT3_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrerumKHT3.fasta"
 PrespAGR2160_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1280674,PrespAGR2160,"seqfu cat --append ""|kraken:taxid|1280674""  PrespAGR2160_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespAGR2160.fasta"
 PrespBP1145_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,2913614,PrespBP1145,"seqfu cat --append ""|kraken:taxid|2913614""  PrespBP1145_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespBP1145.fasta"
 PrespBP1148_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,2913614,PrespBP1148,"seqfu cat --append ""|kraken:taxid|2913614""  PrespBP1148_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespBP1148.fasta"
 PrespFD3004_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1408309,PrespFD3004,"seqfu cat --append ""|kraken:taxid|1408309""  PrespFD3004_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespFD3004.fasta"
 PrespHUN102_FD/Assembly/QC_and_Genome_Assembly/final.assembly.fasta,1392486,PrespHUN102,"seqfu cat --append ""|kraken:taxid|1392486""  PrespHUN102_FD/Assembly/QC_and_Genome_Assembly/final.assembly.fasta > N_PrespHUN102.fasta"
 PrespKH1P2_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1761883,PrespKH1P2,"seqfu cat --append ""|kraken:taxid|1761883""  PrespKH1P2_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespKH1P2.fasta"
 PrespKH2C16_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1855325,PrespKH2C16,"seqfu cat --append ""|kraken:taxid|1855325""  PrespKH2C16_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespKH2C16.fasta"
 PrespKHP1_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1761884,PrespKHP1,"seqfu cat --append ""|kraken:taxid|1761884""  PrespKHP1_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespKHP1.fasta"
